Well Name,Interest,Expire Date,Description,Page
AARON #1,0.0549862,3/26/2025,PRIMARY AFTER E,28
AB PAD 10 STATE #1,0.0752135,5/31/2018,PRIMARY REVISED,43
ABENAKI 10 STATE #1,0.0776055,3/26/2025,PRIMARY WF,40
ABENAKI 10 STATE #2,0.0776055,3/26/2025,PRIMARY WF,42
ABENAKI 10 STATE #3,0.0776055,3/26/2025,PRIMARY WF,42
ACCT,0.1011834,3/31/2023,PRIMARY DECK,79
ALLEN #1,0.05134,11/5/2012,PRIMARY DECK,8
ALLEN #1 REENTRY,0.064175,12/31/2020,PRIMARY,67
ALLEN #1 REENTRY (IN,0.064175,12/31/2020,PRIMARY,8
ALLEN COM #2,0.0125,9/1/2008,PRIMARY DECK,33
ALLEN COM #3,0.0125,9/1/2008,PRIMARY DECK,34
AMBROSE 36 STATE #1,0.052735,6/18/2008,PRIMARY DECK BP,38
AMERICAN BRECO #1,0.05,12/6/2006,PRIMARY DECK,54
AMERICAN BRECO #2,0.0625,12/7/2010,PRIMARY DECK,54
AMERICAN BRECO #3X-D,0.05,5/31/2018,PRIMARY DECK,55
AMERICAN BRECO #4,0.05,5/31/2018,PRIMARY DECK,55
AMERICAN BRECO #5,0.05,10/4/2007,PRIMARY DECK,55
ANIKEN #1,0.0320875,11/18/2015,PRIMARY DECK,27
ANN #1,0.085,9/15/2023,PRIMARY DECK,65
ANNPICK #1,0.0534263,3/26/2025,PRIMARY DECK,80
ARIS,0.08,3/31/2013,PRIMARY DECK,9
BACAK #1 (OTTO #1),0.1325,8/1/2012,PRIMARY DECK,16
BAIR,0.07875,11/1/2007,PRIMARY DECK,18
BAIRD - NEWTON #1,0.07875,12/22/2011,PRIMARY DECK CM,18
BAIRD NEWTON #1 (ACC,0.07875,1/31/2009,PRIMARY DECK CM,18
BALFOUR #1,0.0999219,3/26/2025,PRIMARY DECK,76
BALTHROP #1,0.093261,10/1/2010,PRIMARY DECK,46
BARNES #1,0.05134,10/31/2015,PRIMARY DECK,80
BARR,0.064175,3/26/2025,PRIMARY DECK,61
BARRETT #1,0.07625,3/26/2025,PRIMARY DECK,31
BARRIER #1,0.0414831,3/26/2025,REVISED PRIMARY,61
BATSON #1,0.08,7/26/2010,PRIMARY DECK,62
BATSON #2,0.08,7/20/2009,PRIMARY DECK,62
BAUMBACH #1,0.063393,4/5/2017,PRIMARY DECK,3
BAXT,0.01,10/31/2006,PRIMARY DECK,84
BEAL #1,0.1275,3/26/2025,PRIMARY DECK,45
BEAMS 15 STATE #1,0.0776055,3/26/2025,PRIMARY WF,40
BEAMS 15 STATE #2,0.0776055,3/26/2025,PRIMARY WF,41
BEAMS 15 STATE #3,0.0776055,7/2/2020,PRIMARY WF,41
BEAMS 15 STATE #4,0.0776055,3/26/2025,PRIMARY WF,42
BEELER 16RE,0.02,1/1/2018,PRIMARY,73
BEELER 1H,0.02,1/1/2018,PRIMARY,73
BEELER 2H,0.02,3/26/2025,PRIMARY NC,73
BEELER 3H,0.02,1/1/2018,PRIMARY,73
BEELER 4H,0.0328319,3/26/2025,PRIMARY NC,73
BEELER 5ST,0.02,1/1/2018,PRIMARY,73
BEELER 6H,0.0328319,3/26/2025,PRIMARY NC,73
BEELER 7H,0.02,3/26/2025,PRIMARY,73
BEELER 8H,0.02,1/1/2018,PRIMARY,73
BEELER CENTRAL COMPR,0.02,12/31/2020,PRIMARY,75
BEELER HP SALES PIPE,0.02,12/31/2020,PRIMARY,75
BEELER RANCH #1,0.0573049,3/26/2025,PRIMARY AFTER E,28
BEELER UNIT A 9H,0.02,1/1/2018,PRIMARY,73
BEELER UNIT C 20H,0.02,1/1/2018,PRIMARY,73
BEELER UNIT E 17H,0.0285714,3/26/2025,PRIMARY,73
BEELER UNIT F 19H,0.02,1/1/2018,PRIMARY,73
BEELER UNIT H 26H,0.05,3/26/2025,PRIMARY W ENERG,74
BEELER UNIT J 24H,0.02,3/1/2019,PRIMARY,74
BELL #1,0.1275,3/31/2015,PRIMARY DECK,4
BELLA,0.0810744,12/31/2016,PRIMARY DECK,13
BENGE #1H,0.07625,9/30/2018,PRIMARY DECK,29
BENGE #8,0.0369336,3/26/2025,NON-OP PRIMARY,31
BERC,0.07375,6/30/2009,PRIMARY DECK,53
BERMUDA #1,0.064175,1/31/2018,PRIMARY DECK,85
BERNICE #1,0.047857,6/30/2018,PRIMARY DECK,4
BETTY #1,0.064175,12/6/2017,PRIMARY DECK,65
BIG SONNY #1,0.0512185,3/26/2025,PRIMARY REVISED,83
BIRDIE ALEXANDER SWD,0.135,12/31/2009,PRIMARY DECK,25
BLAC,0.112405,12/31/2016,PRIMARY DECK,14
BLACK STONE MINERALS,0.08,11/1/2007,PRIMARY DECK,58
BLACKMON #1,0.0427833,3/26/2025,PRIMARY,81
BLAGRAVES #1,0.1275,3/26/2025,PRIMARY DECK,4
BLAIR - TXL #1,0.0233645,4/21/2019,PRIMARY AFTER D,84
BLAIR - TXL #3,0.0233645,3/26/2025,PRIMARY AFTER B,83
BLAIR - TXL #4 SWD,0.0336786,3/26/2025,PRIMARY AFTER I,84
BLAIR - TXL NO 6,0.0233645,3/26/2025,PRIMARY AFTER B,84
BLAIR TXL #7,0.0623053,3/31/2010,PRIMARY DECK,84
BLAIR TXL #7-2,0.0283817,3/26/2025,PRIMARY AFTER B,83
BLAIR TXL B NO 5,0.0681666,12/30/2011,PRIMARY DECK,84
BLUMBERG #1,0.09,2/25/2013,PRIMARY DECK,32
BLUMBERG #2,0.09,6/1/2013,PRIMARY DECK,33
BMMP #3,0.1010388,5/11/2023,PRIMARY DECK,79
BMMP 1,0.1008115,3/26/2025,PRIMARY DECK,79
BOND #1,0.05134,3/26/2025,PRIMARY DECK W/,64
BOONE ESTATE #1,0.0867208,3/7/2024,PRIMARY DECK,47
BOOTH 3RE,0.02,5/10/2018,PRIMARY,74
BOOTH BEELER 9RE,0.05,3/26/2025,PRIMARY APO,74
BOOTH LLOYD 5 RE DO,0.05,10/1/2023,PRIMARY W EO,75
BOOTH UNIT 5RE,0.02,3/26/2025,PRIMARY,74
BOOTH W 2RE,0.02,1/21/2021,PRIMARY,74
BOOTH WEAVER 1RE,0.05,3/26/2025,PRIMARY W ENERG,74
BOSWELL #1,0.07625,3/26/2025,PRIMARY,32
BOTTING #1H,0.07625,3/26/2025,PRIMARY DECK,32
BOUGAINVILLEA 33 STA,0.0162425,3/26/2025,PRIMARY AFTER V,37
BOWDLE #42 2,0.02,2/28/2010,PRIMARY DECK,17
BOWM,0.05134,4/30/2014,PRIMARY W/CHK,71
BOWMAN #1,0.064175,5/1/2017,PRIMARY DECK,71
BOWMAN #2,0.064175,8/1/2012,PRIMARY DECK CM,71
BOWMAN #3,0.064175,9/30/2008,PRIMARY DECK,71
BOWMAN #4,0.064175,9/30/2008,PRIMARY DECK,71
BOX #1,0.0343978,3/26/2025,PRIMARY DECK,69
BOYT #1,0.08,8/1/2012,PRIMARY DECK,59
BP FEE #1,0.08,11/1/2007,PRIMARY DECK,58
BR3D,0.0544642,1/1/2001,PRIMARY DECK,2
BRADSHAW #1,0.07625,3/26/2025,PRIMARY DECK,29
BRANTON #1,0.0631011,3/26/2025,PRIMARY REVISED,23
BRANTON #2,0.0678523,1/2/2019,PRIMARY REVISED,25
BRECO DYER #1,0.05,5/31/2018,PRIMARY DECK,55
BROTHERS HORIZON UNI,0.0425547,3/26/2025,PRIMARY DECK HO,15
BROWNSON HOME,0.018125,8/31/2011,PRIMARY DECK,48
BRUCE WEAVER 1RE,0.07,3/26/2025,PRIMARY AFTER E,75
BRUCE WEAVER 2RE,0.068747,3/26/2025,PRIMARY AFTER E,75
BRUCE WEAVER SALES P,0.02,12/31/2020,PRIMARY,75
BRUMLEY #1,0.110625,3/26/2025,PRIMARY DECK,5
BRUMLEY #2,0.110625,3/26/2025,PRIMARY DECK,6
BRUMLEY #3,0.110625,3/26/2025,PRIMARY DECK,6
BRUMLEY #4,0.110625,3/26/2025,PRIMARY DECK,6
BRUMLEY #5,0.110625,3/26/2025,PRIMARY DECK,6
BRUMLEY SWD,0.110625,3/26/2025,PRIMARY DECK,6
BRYAN #1,0.121875,1/23/2012,PRIMARY DECK,17
BUCHANAN #1,0.103846,3/26/2025,PRIMARY,9
