well,id,run_ticket_number,date,date_string,updated_at,type,total
Aaron #1,1973878.0,,1704434400.0,2024-01-05,1970-01-01 00:00:01.704434400,OIL,80.16
Aaron #1,1974700.0,13171,1704434400.0,2024-01-05,1970-01-01 00:00:01.704434400,WATER,120.0
Aaron #1,1973879.0,13754,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,WATER,120.0
Aaron #1,1973880.0,2929711,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,OIL,190.0
Aaron #1,1973045.0,14117,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,WATER,120.0
Aaron #1,1971413.0,013701,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,120.0
Aaron #1,1970464.0,,1704088800.0,2024-01-01,1970-01-01 00:00:01.704088800,OIL,66.8
Aaron #1,1970465.0,013999,1704088800.0,2024-01-01,1970-01-01 00:00:01.704088800,WATER,130.0
Aaron #1,1970466.0,2913431,1704088800.0,2024-01-01,1970-01-01 00:00:01.704088800,OIL,186.0
Aaron #1,1969473.0,014190,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,WATER,130.0
Aaron #1,1966305.0,14174,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,WATER,130.0
Aaron #1,1963885.0,13963,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,WATER,120.0
Aaron #1,1962608.0,014987,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,WATER,120.0
Aaron #1,1962609.0,2900471,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,OIL,183.0
Aaron #1,1962610.0,,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,OIL,73.48
Aaron #1,1961683.0,2900461,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,OIL,191.0
Aaron #1,1961684.0,014294,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,WATER,95.0
Aaron #1,1961685.0,,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,OIL,68.47
Aaron #1,1959544.0,14931,1703138400.0,2023-12-21,1970-01-01 00:00:01.703138400,WATER,60.0
Aaron #1,1958444.0,14976,1703052000.0,2023-12-20,1970-01-01 00:00:01.703052000,WATER,120.0
Aaron #1,1957262.0,121823,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,WATER,120.0
Aaron #1,1954814.0,14262,1702706400.0,2023-12-16,1970-01-01 00:00:01.702706400,WATER,120.0
Aaron #1,1952503.0,,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,85.17
Aaron #1,1952504.0,2874981,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,173.0
Aaron #1,1951333.0,12296,1702447200.0,2023-12-13,1970-01-01 00:00:01.702447200,WATER,120.0
Aaron #1,1950118.0,14883,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,WATER,120.0
Aaron #1,1948514.0,14879,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,WATER,120.0
Aaron #1,1947458.0,14875,1702101600.0,2023-12-09,1970-01-01 00:00:01.702101600,WATER,120.0
Aaron #1,1945581.0,,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,OIL,76.82
Aaron #1,1945580.0,12272,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,WATER,120.0
Aaron #1,1945582.0,2856631,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,192.0
Aniken #1,1954815.0,14912,1702706400.0,2023-12-16,1970-01-01 00:00:01.702706400,WATER,120.0
Aniken #1,1945583.0,2856641,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,181.0
Annpick #1,1963915.0,2900481,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,OIL,180.0
Balfour #1,1973881.0,,1704434400.0,2024-01-05,1970-01-01 00:00:01.704434400,OIL,70.14
Balfour #1,1973882.0,132846,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,WATER,100.0
Balfour #1,1973883.0,2929721,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,OIL,186.0
Balfour #1,1966308.0,,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,OIL,70.14
Balfour #1,1966306.0,2913441,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,OIL,191.0
Balfour #1,1966307.0,13970,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,WATER,120.0
Balfour #1,1960579.0,,1703224800.0,2023-12-22,1970-01-01 00:00:01.703224800,OIL,71.81
Balfour #1,1960580.0,2900491,1703224800.0,2023-12-22,1970-01-01 00:00:01.703224800,OIL,180.1
Balfour #1,1957263.0,,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,OIL,90.18
Balfour #1,1957264.0,2886571,1702879200.0,2023-12-18,1970-01-01 00:00:01.702879200,OIL,190.0
Balfour #1,1953438.0,2879532,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,OIL,62.0
Balfour #1,1952506.0,,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,71.81
Balfour #1,1952507.0,2874991,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,190.0
Balfour #1,1950119.0,146401,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,WATER,65.0
Balfour #1,1945585.0,,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,OIL,86.84
Balfour #1,1945584.0,2856651,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,188.0
Barrier #1,1954727.0,,1702792800.0,2023-12-17,1970-01-01 00:00:01.702792800,OIL,20.43
Barrier #1,1954168.0,,1702706400.0,2023-12-16,1970-01-01 00:00:01.702706400,OIL,54.48
Barrier #1,1946694.0,2856661,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,OIL,190.9
Beeler Ranch #1,1974702.0,1524,1704434400.0,2024-01-05,1970-01-01 00:00:01.704434400,WATER,120.0
Beeler Ranch #1,1973053.0,2929731,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,183.0
Beeler Ranch #1,1971420.0,014113,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,120.0
Beeler Ranch #1,1972215.0,13705,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,100.0
Beeler Ranch #1,1970471.0,014111,1704088800.0,2024-01-01,1970-01-01 00:00:01.704088800,WATER,120.0
Beeler Ranch #1,1968357.0,122924,1703829600.0,2023-12-29,1970-01-01 00:00:01.703829600,WATER,120.0
Beeler Ranch #1,1967409.0,13982,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,WATER,120.0
Beeler Ranch #1,1964976.0,14999,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,WATER,120.0
Beeler Ranch #1,1962614.0,014943,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,WATER,130.0
Beeler Ranch #1,1963177.0,122423,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,WATER,120.0
Beeler Ranch #1,1958455.0,14280,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,WATER,120.0
