,id,name,type,capacity,multiplier,created_at,updated_at
0,7149,000001,OIL/WATER,400,1.67,1449522991,1748345058
1,8325,111144-1,OIL,500,2.79,1461077060,1734468633
2,8326,111144-2,OIL,500,2.79,1461077060,1747427304
3,8286,111145-1,OIL,500,2.79,1461009931,1720555542
4,8287,111145-2,OIL,500,2.79,1461009931,1720555542
5,8337,111149-1,OIL,300,1.67,1461078135,1720555556
6,8338,111149-2,OIL,300,1.67,1461078135,1720555556
7,8295,111150A-1,OIL,500,2.79,1461010709,1734468638
8,8296,111150B-2,OIL,500,2.79,1461010709,1748314078
9,8299,111151-1,OIL,500,2.76,1461011122,1748314077
10,8300,111151-2,OIL,500,2.76,1461011122,1748314078
11,8302,111152-1,OIL,500,2.79,1461017554,1746217637
12,8303,111152-2,OIL,500,2.76,1461017554,1748314078
13,8305,111153-1,OIL,500,2.79,1461076338,1748314078
14,8306,111153-2,OIL,500,2.79,1461076338,1746139938
15,8308,111154-1,OIL,500,2.76,1461076641,1742662520
16,8309,111154-2,OIL,500,2.76,1461076641,1748314079
17,8311,111155-1,OIL,300,1.64,1461076765,1734468638
18,8312,111155-2,OIL,300,1.68,1461076765,1748314079
19,8313,111155-3,OIL,300,1.67,1461076765,1748314079
20,8314,111155-4,OIL,300,1.64,1461076765,1734468638
21,8322,111156-1,OIL,500,2.79,1461076983,1720555591
22,8323,111156-2,OIL,500,2.79,1461076983,1720555591
23,8331,111289-1,OIL,500,2.79,1461077837,1748314077
24,8332,111289-2,OIL,500,2.79,1461077837,1741039997
25,8270,111365-1,OIL,500,2.77,1461009299,1734468632
26,8271,111365-2,OIL,500,2.77,1461009299,1748314078
27,8272,111365-3,OIL,500,2.77,1461009299,1746378435
28,8334,111392-1,OIL,500,2.79,1461077977,1748314077
29,8335,111392-2,OIL,500,2.79,1461077977,1747427304
30,8278,111395-1,OIL,500,2.77,1461009602,1748314078
31,8279,111395-2,OIL,500,2.77,1461009602,1743135648
32,8280,111395-3,OIL,500,2.77,1461009602,1734468632
33,8282,111506-1,OIL,500,2.78,1461009806,1748314078
34,8283,111506-2,OIL,500,2.78,1461009806,1747089804
35,8316,111528-1,OIL,500,2.79,1461076852,1748314078
36,8317,111528-2,OIL,500,2.79,1461076852,1748314078
37,8319,111558-1,OIL,500,2.79,1461076915,1747261108
38,8320,111558-2,OIL,500,2.79,1461076915,1734468638
39,8292,111569-2,OIL,500,2.79,1461010145,1748234246
40,8293,111569-3,OIL,500,2.79,1461010145,1748314078
41,8328,111614-1,OIL,500,2.79,1461077655,1741214557
42,8329,111614-2,OIL,500,2.79,1461077655,1747261109
43,8274,111668-1,OIL,500,2.79,1461009408,1748314078
44,8275,111668-2,OIL,500,2.79,1461009408,1748314078
45,8276,111668-3,OIL,500,2.78,1461009408,1734468632
46,8986,111842-1,OIL,500,2.79,1467131398,1747976932
47,8987,111842-2,OIL,500,2.79,1467131398,1734468632
48,10303,111858-1,OIL,500,2.79,1479163837,1748314077
49,10304,111858-2,OIL,500,2.79,1479163838,1744606606
50,11321,1119121,OIL,500,2.79,1489162002,1748314078
51,11322,1119122,OIL,500,2.79,1489162002,1747585441
52,11606,1119261,OIL,500,2.79,1493931569,1748314078
53,11607,1119262,OIL,500,2.79,1493931569,1748234246
54,11608,1119263,OIL,500,2.79,1493931569,1748314078
55,8984,1119701,OIL,500,2.79,1467131356,1748314078
56,8985,1119702,OIL,500,2.79,1467131356,1746139937
57,17352,111995-1,OIL,500,2.79,1534423377,1720555606
58,17353,111995-2,OIL,500,2.79,1534423378,1720555606
