Well Name,Date
Aaron #1,2019-04-21
Allen #1,2011-07-29
Anhaiser #1,2012-07-24
Aniken #1,2014-08-15
Anna Louisa #1,2019-03-18
Annpick #1,2013-04-18
BMMP #1,2021-06-11
Balfour #1,2022-01-01
Barrier #1,2015-12-03
Beeler Ranch #1,2018-01-01
Bermuda #1,2010-01-16
Betty #1,2010-05-13
Big Sonny #1,2015-06-27
Blackmon #1,2015-09-16
Blas Reyes #1,2014-12-03
Bond #1,2010-12-01
Bowman #1,2007-04-07
Box #1,2010-08-07
Branton #1,2020-05-31
Bruce Weaver #1,2022-01-01
Bruce Weaver #2 Re,2022-01-01
Buck #1,2018-01-02
Burns Ranch #2,2022-08-01
Burns Ranch GT #1,2023-01-01
CR #101,2021-06-08
CR #201,2020-06-30
CR #301,2020-07-02
CR #302,2021-01-11
CR #401,2021-06-29
CR #501,2020-08-09
CR #939,2022-08-01
CT #1,2019-08-09
Cannan #1,2006-03-05
Carolpick #1,2014-07-13
Carolyn #1,2017-08-15
Caza #1,2012-10-08
Cenizo #1,2015-02-04
Chad #1,2017-04-01
Charles B #1,2016-11-15
Circle T #1,2008-12-20
Clayton #1,2014-01-25
Cornett #1,2012-12-15
Cross S #1,2012-05-28
Dale #1,2015-01-07
Dial #1,2013-08-12
Dial #1 ST,2022-10-01
Dillard #1,2014-09-24
Drinkard #1,2022-01-01
Dunkle #1,2011-09-27
Dunkle #2,2013-01-19
Dunlap #1,2012-03-09
Dyess #1,2011-09-24
Eileen #1,2019-09-23
Elaine #1,2011-09-20
Evergreen #1,2010-06-22
FGP #1,2009-03-04
Fatheree #1,2022-01-01
Flower #1,2012-08-04
Flying G #1,2008-08-06
Gail #1,2017-01-08
Gil #1,2010-09-21
Grissom #1,2012-07-21
Haby #1,2011-12-22
Harold #1,2011-08-02
Heitz #1,2018-04-20
Huber #1,2011-04-07
J Beeler #1,2018-12-18
JIC #1,2021-10-11
JIC Buda #1,2023-01-01
JJ #1,2019-06-06
Jessica #1,2014-04-14
Joe #1,2011-01-01
Joseph #1,2018-06-07
Jred #1,2014-02-28
Kay #1,2019-02-03
Kiley #1,2018-06-11
Kincaid #1,2020-01-13
Kirby #1,2016-02-05
Kleimann #1,2018-03-03
Kleimann #3,2019-09-12
LT #1,2016-12-25
La Rosita #1,2008-11-01
Lackey Five #1,2019-11-26
Lander #1,2017-09-20
Lansford #1,2011-01-19
Leary Trust #1,2008-04-06
Lisa #1,2013-10-01
Little 179 #1,2021-11-12
Lochte #1,2021-04-09
MDB #1,2020-03-25
Marguerite #1,2012-04-12
Marpick #1,2013-05-23
Marrs #1,2022-05-25
McLean #1,2007-05-10
Molak #1,2009-08-29
Montemayor #1,2013-03-12
Moreland #1,2009-08-10
Opa #1,2010-04-02
PC #1,2015-08-05
Palm #1,2018-08-29
Parkway #1,2017-02-07
Pecan Grove #1,2017-05-30
Pfeiffer #1,2013-11-13
Pfeiffer #2,2022-01-01
Pickens #1,2011-05-13
Pickens Ranch #2H,2012-05-30
Pickens Weaver #1,2018-10-02
Pickwill #1,2012-10-18
Preston #1,2016-01-06
Pritchett #1,2013-02-22
RAB #1,2021-09-07
RAB #2,2022-08-01
RAB #3,2022-08-01
Rhodes #1,2017-02-02
Richard #1,2015-04-30
Richardson #1,2011-11-02
Rio Nueces #1,2013-07-05
Ronald #1,2013-07-19
Russell #1,2015-02-20
Ruth #1,2011-03-04
Ruthpick #1,2015-03-01
Sansom #1,2022-10-09
Solansky #1,2011-10-31
Sugarland #1,2009-12-13
Tebo #1,2011-03-31
Teel #1,2010-02-21
Thalmann #1,2010-11-03
Thompson #1,2006-10-12
Thompson #2,2007-03-19
Thuss #1,2020-06-09
Tlapek #1,2008-09-01
Tortuga Ranch #1H,2011-10-02
Triple J #1,2006-12-21
Triple J #2,2007-02-08
Triplitt Unit #1H,2010-01-15
Trotter #1,2010-09-27
VRE Minerals #1,2021-04-27
Vermillion #1,2016-10-18
Verna #1,2010-03-28
Wagner Farms #1,2006-03-05
White Marlin #1,2018-05-04
Whittington #1,2018-08-20
Woodward #1,2012-02-20
