,Well Name,Date,Oil (BBLS)
15,Burns Ranch #2,2023-06-11,115.0
22,CR #939,2023-06-11,27.0
33,Dial #1 ST,2023-06-11,0.0
48,JIC Buda #1,2023-06-11,50.0
82,RAB #2,2023-06-11,180.0
83,RAB #3,2023-06-11,90.0
91,Sansom #1,2023-06-11,0.0
120,Burns Ranch #2,2023-06-10,166.0
127,CR #939,2023-06-10,27.0
138,Dial #1 ST,2023-06-10,11.0
153,JIC Buda #1,2023-06-10,32.0
187,RAB #2,2023-06-10,114.0
188,RAB #3,2023-06-10,148.0
196,Sansom #1,2023-06-10,0.0
225,Burns Ranch #2,2023-06-09,114.0
232,CR #939,2023-06-09,27.0
243,Dial #1 ST,2023-06-09,0.0
258,JIC Buda #1,2023-06-09,112.0
292,RAB #2,2023-06-09,59.0
293,RAB #3,2023-06-09,90.0
301,Sansom #1,2023-06-09,0.0
330,Burns Ranch #2,2023-06-08,112.0
331,Burns Ranch GT #1,2023-06-08,0.0
338,CR #939,2023-06-08,27.0
349,Dial #1 ST,2023-06-08,9.0
364,JIC Buda #1,2023-06-08,12.0
398,RAB #2,2023-06-08,94.0
399,RAB #3,2023-06-08,160.0
407,Sansom #1,2023-06-08,13.0
436,Burns Ranch #2,2023-06-07,76.0
437,Burns Ranch GT #1,2023-06-07,0.0
444,CR #939,2023-06-07,52.0
455,Dial #1 ST,2023-06-07,9.0
470,JIC Buda #1,2023-06-07,15.0
505,RAB #2,2023-06-07,87.0
506,RAB #3,2023-06-07,130.0
514,Sansom #1,2023-06-07,43.0
543,Burns Ranch #2,2023-06-06,119.0
544,Burns Ranch GT #1,2023-06-06,0.0
551,CR #939,2023-06-06,30.0
562,Dial #1 ST,2023-06-06,9.0
577,JIC Buda #1,2023-06-06,40.0
612,RAB #2,2023-06-06,11.0
613,RAB #3,2023-06-06,146.0
621,Sansom #1,2023-06-06,53.0
650,Burns Ranch #2,2023-06-05,112.0
651,Burns Ranch GT #1,2023-06-05,0.0
658,CR #939,2023-06-05,25.0
669,Dial #1 ST,2023-06-05,20.0
684,JIC Buda #1,2023-06-05,20.0
719,RAB #2,2023-06-05,157.0
720,RAB #3,2023-06-05,147.0
728,Sansom #1,2023-06-05,50.0
757,Burns Ranch #2,2023-06-04,127.0
758,Burns Ranch GT #1,2023-06-04,0.0
765,CR #939,2023-06-04,25.0
776,Dial #1 ST,2023-06-04,0.0
791,JIC Buda #1,2023-06-04,18.0
826,RAB #2,2023-06-04,178.0
827,RAB #3,2023-06-04,148.0
835,Sansom #1,2023-06-04,20.0
864,Burns Ranch #2,2023-06-03,117.0
865,Burns Ranch GT #1,2023-06-03,0.0
872,CR #939,2023-06-03,27.0
883,Dial #1 ST,2023-06-03,7.0
898,JIC Buda #1,2023-06-03,42.0
933,RAB #2,2023-06-03,175.0
934,RAB #3,2023-06-03,158.0
942,Sansom #1,2023-06-03,50.0
971,Burns Ranch #2,2023-06-02,115.0
